"Ten","NguHanh","AmDuong","LucThan"
"Tý","Thủy","Dương",""
"Sửu","Thổ","Âm",""
"Dần","Mộc","Dương",""
"Mão","Mộc","Âm",""
"Thìn","Thổ","Dương",""
"Tỵ","Hỏa","Âm",""
"Ngọ","Hỏa","Dương",""
"Mùi","Thổ","Âm",""
"Thân","Kim","Dương",""
"Dậu","Kim","Âm",""
"Tuất","Thổ","Dương",""
"Hợi","Thủy","Âm",""
"Càn","Kim","Dương",""
"Đoài","Kim","Âm",""
"Ly","Hỏa","Âm",""
"Chấn","Mộc","Dương",""
"Tốn","Mộc","Âm",""
"Khảm","Thủy","Dương",""
"Cấn","Thổ","Dương",""
"Khôn","Thổ","Âm",""
"Giáp","Mộc","Dương","Long"
"Ất","Mộc","Âm","Long"
"Bính","Hỏa","Dương","Tước"
"Đinh","Hỏa","Âm","Tước"
"Mậu","Thổ","Dương","Trần"
"Kỷ","Thổ","Âm","Xà"
"Canh","Kim","Dương","Hổ"
"Tân","Kim","Âm","Hổ"
"Nhâm","Thủy","Dương","Vũ"
"Quý","Thủy","Âm","Vũ"
